TEAM_ID,YEAR,STANDINGSDATE,CONFERENCE,TEAM,G,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
1610612737,2003,2003-12-31,East,Atlanta,33,9,24,0.273,5-10,4-14
1610612737,2004,2004-12-31,East,Atlanta,28,5,23,0.179,3-13,2-10
1610612737,2005,2005-12-31,East,Atlanta,28,7,21,0.25,5-7,2-14
1610612737,2006,2006-12-31,East,Atlanta,29,9,20,0.31,4-9,5-11
1610612737,2007,2007-12-31,East,Atlanta,28,15,13,0.536,10-6,5-7
1610612737,2008,2008-12-31,East,Atlanta,31,21,10,0.677,14-2,7-8
1610612737,2009,2009-12-31,East,Atlanta,31,21,10,0.677,12-3,9-7
1610612737,2010,2010-12-31,East,Atlanta,35,21,14,0.6,12-5,9-9
1610612737,2011,2011-12-31,East,Atlanta,4,3,1,0.75,2-0,1-1
1610612737,2012,2012-12-31,East,Atlanta,29,19,10,0.655,11-5,8-5
1610612737,2013,2013-12-31,East,Atlanta,32,18,14,0.563,12-4,6-10
1610612737,2014,2014-12-31,East,Atlanta,31,23,8,0.742,14-3,9-5
1610612737,2015,2015-12-31,East,Atlanta,34,21,13,0.618,12-6,9-7
1610612737,2016,2016-12-31,East,Atlanta,33,17,16,0.515,9-7,8-9
1610612737,2017,2017-12-31,East,Atlanta,36,10,26,0.278,7-11,3-15
1610612737,2018,2018-12-31,East,Atlanta,36,11,25,0.306,6-10,5-15
1610612737,2019,2019-12-31,East,Atlanta,34,7,27,0.206,3-12,4-15
1610612737,2020,2020-12-31,East,Atlanta,4,3,1,0.75,1-0,2-1
1610612737,2021,2021-12-31,East,Atlanta,35,16,19,0.457,8-9,8-10
1610612737,2022,2022-12-22,East,Atlanta,32,16,16,0.5,10-6,6-10
1610612738,2003,2003-12-31,East,Boston,33,16,17,0.485,8-9,8-8
1610612738,2004,2004-12-31,East,Boston,29,13,16,0.4479999999999999,8-5,5-11
1610612738,2005,2005-12-31,East,Boston,29,12,17,0.414,9-6,3-11
1610612738,2006,2006-12-31,East,Boston,29,10,19,0.345,4-10,6-9
1610612738,2007,2007-12-31,East,Boston,29,26,3,0.897,14-1,12-2
1610612738,2008,2008-12-31,East,Boston,33,28,5,0.848,17-1,11-4
1610612738,2009,2009-12-31,East,Boston,31,23,8,0.742,10-4,13-4
1610612738,2010,2010-12-31,East,Boston,31,24,7,0.774,13-2,11-5
1610612738,2011,2011-12-31,East,Boston,4,1,3,0.25,1-0,0-3
1610612738,2012,2012-12-31,East,Boston,30,14,16,0.467,9-5,5-11
1610612738,2013,2013-12-31,East,Boston,31,13,18,0.419,8-9,5-9
1610612738,2014,2014-12-31,East,Boston,29,11,18,0.379,8-9,3-9
1610612738,2015,2015-12-31,East,Boston,32,18,14,0.563,9-8,9-6
1610612738,2016,2016-12-31,East,Boston,34,20,14,0.588,8-6,12-8
1610612738,2017,2017-12-31,East,Boston,40,30,10,0.75,16-5,14-5
1610612738,2018,2018-12-31,East,Boston,36,21,15,0.583,11-5,10-10
1610612738,2019,2019-12-31,East,Boston,31,23,8,0.742,13-2,10-6
1610612738,2020,2020-12-31,East,Boston,5,3,2,0.6,2-1,1-1
1610612738,2021,2021-12-31,East,Boston,36,17,19,0.472,10-7,7-12
1610612738,2022,2022-12-22,East,Boston,32,22,10,0.688,11-5,11-5
1610612739,2003,2003-12-31,East,Cleveland,32,10,22,0.313,8-8,2-14
1610612739,2004,2004-12-31,East,Cleveland,29,17,12,0.586,11-3,6-9
1610612739,2005,2005-12-31,East,Cleveland,28,18,10,0.643,13-3,5-7
1610612739,2006,2006-12-31,East,Cleveland,29,17,12,0.586,13-3,4-9
1610612739,2007,2007-12-31,East,Cleveland,31,14,17,0.452,8-6,6-11
1610612739,2008,2008-12-31,East,Cleveland,31,26,5,0.8390000000000001,16-0,10-5
1610612739,2009,2009-12-31,East,Cleveland,34,26,8,0.765,13-2,13-6
1610612739,2010,2010-12-31,East,Cleveland,32,8,24,0.25,5-10,3-14
1610612739,2011,2011-12-31,East,Cleveland,3,1,2,0.3329999999999999,0-1,1-1
1610612739,2012,2012-12-31,East,Cleveland,32,7,25,0.2189999999999999,3-10,4-15
1610612739,2013,2013-12-31,East,Cleveland,31,10,21,0.3229999999999999,8-7,2-14
