team_id,abbreviation,nickname,year_founded,start_year,end_year,city,arena,arena_capacity,owner,general_manager,head_coach,conference
1610612737,ATL,Hawks,1949,1949,2019,Atlanta,State Farm Arena,18729,Tony Ressler,Travis Schlenk,Lloyd Pierce,East
1610612738,BOS,Celtics,1946,1946,2019,Boston,TD Garden,18624,Wyc Grousbeck,Danny Ainge,Brad Stevens,East
1610612740,NOP,Pelicans,2002,2002,2019,New Orleans,Smoothie King Center,0,Tom Benson,Trajan Langdon,Alvin Gentry,East
1610612741,CHI,Bulls,1966,1966,2019,Chicago,United Center,21711,Jerry Reinsdorf,Gar Forman,Jim Boylen,East
1610612742,DAL,Mavericks,1980,1980,2019,Dallas,American Airlines Center,19200,Mark Cuban,Donnie Nelson,Rick Carlisle,West
1610612743,DEN,Nuggets,1976,1976,2019,Denver,Pepsi Center,19099,Stan Kroenke,Tim Connelly,Michael Malone,West
1610612745,HOU,Rockets,1967,1967,2019,Houston,Toyota Center,18104,Tilman Fertitta,Daryl Morey,Mike D'Antoni,West
1610612746,LAC,Clippers,1970,1970,2019,Los Angeles,Staples Center,19060,Steve Ballmer,Michael Winger,Doc Rivers,West
1610612747,LAL,Lakers,1948,1948,2019,Los Angeles,Staples Center,19060,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel,West
1610612748,MIA,Heat,1988,1988,2019,Miami,AmericanAirlines Arena,19600,Micky Arison,Pat Riley,Erik Spoelstra,East
1610612749,MIL,Bucks,1968,1968,2019,Milwaukee,Fiserv Forum,17500,Wesley Edens & Marc Lasry,Jon Horst,Mike Budenholzer,East
1610612750,MIN,Timberwolves,1989,1989,2019,Minnesota,Target Center,19356,Glen Taylor,Scott Layden,Ryan Saunders,West
1610612751,BKN,Nets,1976,1976,2019,Brooklyn,Barclays Center,0,Joe Tsai,Sean Marks,Kenny Atkinson,East
1610612752,NYK,Knicks,1946,1946,2019,New York,Madison Square Garden,19763,Cablevision (James Dolan),Steve Mills,David Fizdale,East
1610612753,ORL,Magic,1989,1989,2019,Orlando,Amway Center,0,Rick DeVos,John Hammond,Steve Clifford,East
1610612754,IND,Pacers,1976,1976,2019,Indiana,Bankers Life Fieldhouse,18345,Herb Simon,Kevin Pritchard,Nate McMillan,East
1610612755,PHI,76ers,1949,1949,2019,Philadelphia,Wells Fargo Center,0,Joshua Harris,Elton Brand,Brett Brown,East
1610612756,PHX,Suns,1968,1968,2019,Phoenix,Talking Stick Resort Arena,0,Robert Sarver,James Jones,Monty Williams,West
1610612757,POR,Trail Blazers,1970,1970,2019,Portland,Moda Center,19980,Paul Allen,Neil Olshey,Terry Stotts,West
1610612758,SAC,Kings,1948,1948,2019,Sacramento,Golden 1 Center,17500,Vivek Ranadive,Vlade Divac,Luke Walton,West
1610612759,SAS,Spurs,1976,1976,2019,San Antonio,AT&T Center,18694,Peter Holt,Brian Wright,Gregg Popovich,West
1610612760,OKC,Thunder,1967,1967,2019,Oklahoma City,Chesapeake Energy Arena,19163,Clay Bennett,Sam Presti,Billy Donovan,West
1610612761,TOR,Raptors,1995,1995,2019,Toronto,Scotiabank Arena,19800,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse,East
1610612762,UTA,Jazz,1974,1974,2019,Utah,Vivint Smart Home Arena,20148,Greg Miller,Dennis Lindsey,Quin Snyder,West
1610612763,MEM,Grizzlies,1995,1995,2019,Memphis,FedExForum,18119,Robert Pera,Zach Kleiman,Taylor Jenkins,West
1610612764,WAS,Wizards,1961,1961,2019,Washington,Capital One Arena,20647,Ted Leonsis,Tommy Sheppard,Scott Brooks,East
1610612765,DET,Pistons,1948,1948,2019,Detroit,Little Caesars Arena,21000,Tom Gores,Ed Stefanski,Dwane Casey,East
1610612766,CHA,Hornets,1988,1988,2019,Charlotte,Spectrum Center,19026,Michael Jordan,Mitch Kupchak,James Borrego,East
1610612739,CLE,Cavaliers,1970,1970,2019,Cleveland,Quicken Loans Arena,20562,Dan Gilbert,Koby Altman,John Beilein,East
1610612744,GSW,Warriors,1946,1946,2019,Golden State,Chase Center,19596,Joe Lacob,Bob Myers,Steve Kerr,West
